pkg, A_mk_path, B_mk_path, A_license, B_license, A_version, B_version, status
libcthulhu, feeds/feed_lcm/libs/libcthulhu/Makefile, feeds/feed_lcm/libs/libcthulhu/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.27.0-1, v0.29.0-1, diff
libdhcpoptions, feeds/feed_netmodel/libs/libdhcpoptions/Makefile, feeds/feed_netmodel/libs/libdhcpoptions/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.6.0-1, v0.6.0-1, same
libdiscoping, feeds/feed_net_services/libs/libdiscoping/Makefile, feeds/feed_net_services/libs/libdiscoping/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.11.0-1, v0.11.0-1, same
libfiletransfer, feeds/feed_net_services/libs/libfiletransfer/Makefile, feeds/feed_net_services/libs/libfiletransfer/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.5.0-1, v1.5.0-1, same
libfwinterface, feeds/feed_qos_firewall/libs/libfwinterface/Makefile, feeds/feed_qos_firewall/libs/libfwinterface/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.6.8-1, v1.6.8-1, same
libfwrules, feeds/feed_qos_firewall/libs/libfwrules/Makefile, feeds/feed_qos_firewall/libs/libfwrules/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.8.0-1, v2.8.0-1, same
libgmap-client, feeds/feed_gmap/libs/libgmap-client/Makefile, feeds/feed_gmap/libs/libgmap-client/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.7.1-1, v1.7.1-1, same
libgmap-ext, feeds/feed_gmap/libs/libgmap-ext/Makefile, feeds/feed_gmap/libs/libgmap-ext/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.1.0-1, v1.1.0-1, same
libimtp, feeds/feed_usp/libs/libimtp/Makefile, feeds/feed_usp/libs/libimtp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.2.0-1, v2.2.0-1, same
libipat, feeds/feed_net_core/libs/libipat/Makefile, feeds/feed_net_core/libs/libipat/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.7.1-1, v1.7.1-1, same
liblcm, feeds/feed_lcm/libs/liblcm/Makefile, feeds/feed_lcm/libs/liblcm/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.2.5-1, v0.3.0-1, diff
liblxc, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
libnemo-client, feeds/feed_netmodel/libs/libnemo-client/Makefile, feeds/feed_netmodel/libs/libnemo-client/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.4.2-1, v0.4.2-1, same
libnetlink-utils, feeds/feed_net_core/libs/libnetlink-utils/Makefile, feeds/feed_net_core/libs/libnetlink-utils/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.2-1, v0.1.3-1, diff
libnetmodel, feeds/feed_netmodel/libs/libnetmodel/Makefile, feeds/feed_netmodel/libs/libnetmodel/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.5.17-1, v1.5.17-1, same
libocispec, feeds/feed_lcm/libs/libocispec/Makefile, feeds/feed_lcm/libs/libocispec/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, 2021-05-15-1, 2021-05-15-1, same
libpacket-interception, feeds/feed_qos_firewall/libs/libpacket-interception/Makefile, feeds/feed_qos_firewall/libs/libpacket-interception/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.4-1, v1.0.4-1, same
libpcp, feeds/feed_opensource/sah/libpcp/Makefile, feeds/feed_opensource/sah/libpcp/Makefile, BSD-2-Clause, BSD-2-Clause, 2022-02-22-1c783fb83516ebf10ebebd023a490255d35f34fd-1, 2022-02-22-1c783fb83516ebf10ebebd023a490255d35f34fd-1, same
libpeafowl, feeds/feed_qos_firewall/libs/libpeafowl/Makefile, feeds/feed_qos_firewall/libs/libpeafowl/Makefile, MIT, MIT, gen_1.1.4_v0.1.0, gen_1.1.4_v0.1.0, same
libqoscommon, feeds/feed_qos_firewall/libs/libqoscommon/Makefile, feeds/feed_qos_firewall/libs/libqoscommon/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.3.0-1, v0.3.0-1, same
libqosmod, feeds/feed_qos_firewall/libs/libqosmod/Makefile, feeds/feed_qos_firewall/libs/libqosmod/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.6-1, v0.1.6-1, same
libqosmodule, feeds/feed_qos_firewall/libs/libqosmodule/Makefile, feeds/feed_qos_firewall/libs/libqosmodule/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.0.1-1, v1.0.1-1, same
libqosnode, feeds/feed_qos_firewall/libs/libqosnode/Makefile, feeds/feed_qos_firewall/libs/libqosnode/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.3.3-1, v1.3.3-1, same
librlyeh, feeds/feed_lcm/libs/librlyeh/Makefile, feeds/feed_lcm/libs/librlyeh/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.2.0-1, v1.3.0-1, diff
librnp, feeds/feed_opensource/sah/librnp/Makefile, feeds/feed_opensource/sah/librnp/Makefile, BSD-2-Clause-NetBSD, BSD-2-Clause-NetBSD, 0.17.1-1, 0.17.1-1, same
libsahtrace, feeds/feed_amx/libs/libsahtrace/Makefile, feeds/feed_amx/libs/libsahtrace/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.15.0-1, v1.15.0-1, same
libsexpp, feeds/feed_opensource/sah/libsexpp/Makefile, feeds/feed_opensource/sah/libsexpp/Makefile, MIT, MIT, 0.8.8-1, 0.8.8-1, same
libswl, feeds/feed_wifi_swl/libs/libswl/Makefile, feeds/feed_wifi_swl/libs/libswl/Makefile, SAH, SAH, v6.3.0-1, v6.3.1-1, diff
libswla, feeds/feed_wifi_swl/libs/libswla/Makefile, feeds/feed_wifi_swl/libs/libswla/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v3.12.2-1, v3.12.5-1, diff
libswlc, feeds/feed_wifi_swl/libs/libswlc/Makefile, feeds/feed_wifi_swl/libs/libswlc/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v5.27.3-1, v5.28.0-1, diff
libtr181-schedules, feeds/feed_net_services/libs/libtr181-schedules/Makefile, feeds/feed_net_services/libs/libtr181-schedules/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.1.3-1, v0.1.3-1, same
libtr69-engine, feeds/feed_tr69/libs/libtr69-engine/Makefile, feeds/feed_tr69/libs/libtr69-engine/Makefile, Apache-2.0, Apache-2.0, v0.9.6-1, v0.9.6-1, same
libunbound-prpl, feeds/feed_opensource/packages/net/unbound-prpl/Makefile, feeds/feed_opensource/packages/net/unbound-prpl/Makefile, BSD-3-Clause, BSD-3-Clause, gen_1.18.0_v0.1.3-1, gen_1.18.0_v0.1.3-1, same
libusp, feeds/feed_usp/libs/libusp/Makefile, feeds/feed_usp/libs/libusp/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v2.7.2-1, v2.7.2-1, same
libuspi, feeds/feed_usp/libs/libuspi/Makefile, feeds/feed_usp/libs/libuspi/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v1.1.0-1, v1.1.0-1, same
libuspprotobuf, feeds/feed_usp/libs/libuspprotobuf/Makefile, feeds/feed_usp/libs/libuspprotobuf/Makefile, BSD-3-Clause, BSD-3-Clause, v0.5.2-1, v0.5.2-1, same
libwebsockets4-full, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, MIT, MIT, 4.3.2-2, 4.3.2-2, same
libwebsockets4-mbedtls, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, MIT, MIT, 4.3.2-2, 4.3.2-2, same
libwebsockets4-openssl, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, feeds/feed_opensource/packages/libs/libwebsockets4/Makefile, MIT, MIT, 4.3.2-2, 4.3.2-2, same
lua-amx, feeds/feed_amx/utilities/lua-amx/Makefile, feeds/feed_amx/utilities/lua-amx/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.5-1, v0.5.5-1, same
lxc, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-attach, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-auto, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-autostart, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-cgroup, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-checkconfig, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-common, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-config, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-configs, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-console, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-copy, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-create, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-destroy, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-device, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-execute, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-freeze, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-hooks, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-info, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-init, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-ls, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-monitor, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-monitord, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-snapshot, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-start, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-stop, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-templates, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-top, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-unfreeze, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-unprivileged, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-unshare, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-user-nic, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-usernsexec, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
lxc-wait, feeds/feed_opensource/packages/utils/lxc/Makefile, feeds/feed_opensource/packages/utils/lxc/Makefile, LGPL-2.1-or-later, LGPL-2.1-or-later, 5.0.3-2, 5.0.3-2, same
mcastd-noforward, , feeds/feed_mcastd/plugins/mcastd-noforward/Makefile, , BSD-2-Clause-Patent, , v0.1.4-1, B only
miniupnpd-prpl, feeds/feed_opensource/packages/net/miniupnpd-prpl/Makefile, feeds/feed_opensource/packages/net/miniupnpd-prpl/Makefile, BSD-3-Clause, BSD-3-Clause, gen_miniupnpd_2_3_3_v0.3.9-1, gen_miniupnpd_2_3_3_v0.3.9-1, same
moca-manager, feeds/feed_net_core/plugins/moca-manager/Makefile, feeds/feed_net_core/plugins/moca-manager/Makefile, BSD-2-Clause-Patent, BSD-2-Clause-Patent, v0.5.12-1, v0.5.12-1, same
